Application name, Spoken forms, Exclude, Unique Id, Path, Executable Name
3D Viewer,None,True,Microsoft.Microsoft3DViewer_8wekyb3d8bbwe!Microsoft.Microsoft3DViewer,None,None
AMD Radeon Pro Settings,None,True,CNEventWindowClass,None,None
Access,None,True,Microsoft.Office.MSACCESS.EXE.15,None,None
Accessibility Insights for Windows,Accessibility Insights,False,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\AccessibilityInsights\1.1\AccessibilityInsights.exe,C:\Program Files (x86)\AccessibilityInsights\1.1\AccessibilityInsights.exe,AccessibilityInsights.exe
Adobe Acrobat,None,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Adobe\Acrobat DC\Acrobat\Acrobat.exe,C:\Program Files\Adobe\Acrobat DC\Acrobat\Acrobat.exe,Acrobat.exe
Apple Software Update,None,False,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\Apple Software Update\SoftwareUpdate.exe,C:\Program Files (x86)\Apple Software Update\SoftwareUpdate.exe,SoftwareUpdate.exe
Application Verifier (WOW),None,True,{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\appverif.exe,C:\Windows\SysWOW64\appverif.exe,appverif.exe
Application Verifier (X64),None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\appverif.exe,C:\Windows\System32\appverif.exe,appverif.exe
Beyond Compare 4,Beyond Compare,False,{6D809377-6AF0-444B-8957-A3773F02200E}\Beyond Compare 4\BCompare.exe,C:\Program Files\Beyond Compare 4\BCompare.exe,BCompare.exe
Building Architect,None,True,{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\GOG Galaxy\Games\SimCity 3000 Unlimited\Apps\Baapp.exe,C:\Program Files (x86)\GOG Galaxy\Games\SimCity 3000 Unlimited\Apps\Baapp.exe,Baapp.exe
Calculator,None,False,Microsoft.WindowsCalculator_8wekyb3d8bbwe!App,None,None
Calendar,None,False,microsoft.windowscommunicationsapps_8wekyb3d8bbwe!microsoft.windowslive.calendar,None,None
Camera,None,True,Microsoft.WindowsCamera_8wekyb3d8bbwe!App,None,None
Cerebro,None,True,com.cerebroapp.Cerebro,None,None
Character Map,None,True,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\charmap.exe,C:\Windows\System32\charmap.exe,charmap.exe
